ADDR_DC,TRDAR_NM,RCIPT_NO,SALES_CD,ORDER_TY,ORDER_CN,SALES_DE,SALES_TIME,SALES_WKDAY_CD,RESVE_DT,LCLAS_CD,MLSFC_CD,SCLAS_CD,SLE_CO,SETLE_PRICE,DSCNT_PRICE,PAYMENT_PRICE,DSCNT_NM,DSCNT_RT,SETLE_MTH_CN
"서울특별시 강남구","주택가","0001","매출","POS예약(선불)","케이크 예약","20240101","0705","월","20231231010001","Food","베이커리","마카롱","1.00000","32000.00000","3200.00000","28800.00000","고객 할인","10%","카드, 쿠폰"
"서울특별시 강남구","주택가","0001","매출","POS예약(선불)","케이크 예약","20240101","0705","월","20231231010001","Food","베이커리","마카롱","1.00000","0.00000","0.00000","0.00000","고객 할인",,"카드, 쿠폰"
"서울특별시 강남구","주택가","0001","매출","POS예약(선불)","케이크 예약","20240101","0705","월","20231231010001","Food","베이커리","마카롱","1.00000","0.00000","0.00000","0.00000","고객 할인",,"카드, 쿠폰"
"서울특별시 강남구","주택가","0001","매출","POS예약(선불)","케이크 예약","20240101","0705","월","20231231010001","Food","베이커리","마카롱","1.00000","0.00000","0.00000","0.00000","고객 할인",,"카드, 쿠폰"
"서울특별시 강남구","주택가","0001","매출","POS예약(선불)","케이크 예약","20240101","0705","월","20231231010001","Food","베이커리","마카롱","1.00000","0.00000","0.00000","0.00000","고객 할인",,"카드, 쿠폰"
"서울특별시 강남구","주택가","0001","매출","POS예약(선불)","케이크 예약","20240101","0705","월","20231231010001","Food","베이커리","마카롱","1.00000","0.00000","0.00000","0.00000","고객 할인",,"카드, 쿠폰"
"서울특별시 강남구","주택가","0001","매출","POS예약(선불)","케이크 예약","20240101","0705","월","20231231010001","Food","베이커리","마카롱","1.00000","0.00000","0.00000","0.00000","고객 할인",,"카드, 쿠폰"
"서울특별시 강남구","주택가","0001","매출","POS예약(선불)","케이크 예약","20240101","0705","월","20231231010001","Food","베이커리","마카롱","1.00000","0.00000","0.00000","0.00000","고객 할인",,"카드, 쿠폰"
"서울특별시 강남구","주택가","0001","매출","POS예약(선불)","케이크 예약","20240101","0705","월","20231231010001","Food","베이커리","마카롱","1.00000","0.00000","0.00000","0.00000","고객 할인",,"카드, 쿠폰"
"서울특별시 강남구","주택가","0001","매출","POS예약(선불)","케이크 예약","20240101","0705","월","20231231010001","Food","베이커리","마카롱","1.00000","0.00000","0.00000","0.00000","고객 할인",,"카드, 쿠폰"
"서울특별시 강남구","주택가","0001","매출","POS예약(선불)","케이크 예약","20240101","0705","월","20231231010001","Food","베이커리","마카롱","1.00000","0.00000","0.00000","0.00000","고객 할인",,"카드, 쿠폰"
"서울특별시 강남구","주택가","0001","매출","POS예약(선불)","케이크 예약","20240101","0705","월","20231231010001","Food","케이크","홀케이크","1.00000","54000.00000","5400.00000","48600.00000","고객 할인","10%","카드, 쿠폰"
"서울특별시 강남구","주택가","0002","매출","스마트오더(예약)","케이크 예약","20240101","0705","월","20231229010001","Food","케이크","홀케이크","1.00000","45000.00000","0.00000","45000.00000","고객 할인",,"모바일쿠폰"
"서울특별시 강남구","주택가","0003","매출","POS예약(선불)","케이크 예약","20240101","0705","월","20231231010002","Food","케이크","홀케이크","1.00000","54000.00000","0.00000","54000.00000","고객 할인",,"카드"
"서울특별시 강남구","주택가","0004","매출","스마트오더(예약)","케이크 예약","20240101","0705","월","20231230010002","Food","케이크","홀케이크","1.00000","45000.00000","0.00000","45000.00000","고객 할인",,"모바일쿠폰"
"서울특별시 강남구","주택가","0005","매출","POS예약(선불)","케이크 예약","20240101","0706","월","20231231010003","Food","케이크","홀케이크","1.00000","52000.00000","5200.00000","46800.00000","고객 할인","10%","카드, 쿠폰"
"서울특별시 강남구","주택가","0006","매출","스마트오더(예약)","케이크 예약","20240101","0706","월","20231230010003","Food","케이크","홀케이크","1.00000","45000.00000","0.00000","45000.00000","고객 할인",,"모바일쿠폰"
"서울특별시 강남구","주택가","0007","매출","POS예약(선불)","케이크 예약","20240101","0706","월","20231230010005","Food","케이크","홀케이크","1.00000","45000.00000","4500.00000","40500.00000","고객 할인","10%","카드, 쿠폰"
"서울특별시 강남구","주택가","0007","매출","POS예약(선불)","케이크 예약","20240101","0706","월","20231230010005","Food","케이크","홀케이크","1.00000","45000.00000","4500.00000","40500.00000","고객 할인","10%","카드, 쿠폰"
"서울특별시 강남구","주택가","0008","매출","스마트오더(예약)","케이크 예약","20240101","0706","월","20231228010006","Food","케이크","홀케이크","1.00000","23000.00000","0.00000","23000.00000","고객 할인",,"모바일쿠폰"
"서울특별시 강남구","주택가","0009","매출","매장주문","일반","20240101","0759","월",,"Food","케이크","홀케이크","1.00000","45000.00000","0.00000","45000.00000","고객 할인",,"카드"
"서울특별시 강남구","주택가","0010","매출","매장주문","일반","20240101","0801","월",,"Food","케이크","홀케이크","1.00000","45000.00000","4500.00000","40500.00000","고객 할인","10%","카드, 쿠폰"
"서울특별시 강남구","주택가","0010","매출","매장주문","일반","20240101","0801","월",,"Beverage","커피","에스프레소","1.00000","5400.00000","540.00000","4860.00000","고객 할인","10%","카드, 쿠폰"
"서울특별시 강남구","주택가","0011","매출","매장주문","일반","20240101","0802","월",,"Beverage","커피","에스프레소","1.00000","5400.00000","1080.00000","4320.00000","고객 할인","20%","모바일쿠폰, 쿠폰"
"서울특별시 강남구","주택가","0011","매출","매장주문","일반","20240101","0802","월",,"Beverage","음료","Extra","1.00000","700.00000","0.00000","700.00000","고객 할인",,"모바일쿠폰, 쿠폰"
"서울특별시 강남구","주택가","0011","매출","매장주문","일반","20240101","0802","월",,"Food","베이커리","브레드","1.00000","3800.00000","0.00000","3800.00000","고객 할인",,"모바일쿠폰, 쿠폰"
"서울특별시 강남구","주택가","0012","반품","매장주문","일반","20240101","0803","월",,"Food","케이크","홀케이크","1.00000","45000.00000","4500.00000","40500.00000","고객 할인","10%","카드, 쿠폰"
"서울특별시 강남구","주택가","0012","반품","매장주문","일반","20240101","0803","월",,"Beverage","커피","에스프레소","1.00000","5400.00000","540.00000","4860.00000","고객 할인","10%","카드, 쿠폰"
"서울특별시 강남구","주택가","0013","매출","매장주문","일반","20240101","0803","월",,"Beverage","커피","에스프레소","1.00000","5400.00000","540.00000","4860.00000","고객 할인","10%","카드, 쿠폰"
